iter	Passed	Remaining
399	66046	132092
400	66202	131908
401	66358	131726
402	66512	131539
403	66670	131360
404	66829	131183
405	66978	130987
406	67128	130793
407	67288	130618
408	67448	130444
409	67611	130275
410	67766	130092
411	67919	129903
412	68070	129712
413	68238	129553
414	68395	129373
415	68553	129196
416	68706	129009
417	68858	128820
418	69009	128631
419	69161	128443
420	69312	128253
421	69465	128066
422	69642	127925
423	69815	127776
424	70007	127660
425	70165	127483
426	70320	127301
427	70475	127119
428	70637	126950
429	70793	126770
430	70953	126596
431	71103	126407
432	71262	126231
433	71420	126055
434	71574	125872
435	71730	125693
436	71886	125513
437	72044	125337
438	72199	125156
439	72353	124974
440	72507	124792
441	72658	124604
442	72816	124429
443	72995	124289
444	73152	124112
445	73307	123932
446	73461	123750
447	73615	123569
448	73806	123448
449	73962	123271
450	74120	123095
451	74286	122934
452	74454	122775
453	74609	122596
454	74766	122419
455	74922	122241
456	75076	122061
457	75231	121881
458	75383	121698
459	75536	121515
460	75698	121347
461	75858	121176
462	76017	121004
463	76174	120828
464	76334	120657
465	76491	120481
466	76648	120307
467	76802	120126
468	76955	119945
469	77110	119766
470	77264	119587
471	77433	119431
472	77591	119258
473	77747	119081
474	77907	118911
475	78066	118740
476	78227	118570
477	78380	118390
478	78535	118213
479	78688	118032
480	78845	117857
481	78996	117674
482	79147	117491
483	79296	117305
484	79450	117127
485	79606	116952
486	79761	116775
487	79929	116618
488	80085	116443
489	80246	116275
490	80442	116157
491	80603	115989
492	80765	115823
493	80918	115644
494	81082	115480
495	81246	115317
496	81410	115154
497	81586	115007
498	81752	114846
499	81901	114661
500	82064	114496
501	82224	114327
502	82386	114161
503	82542	113986
504	82699	113814
505	82866	113654
506	83049	113517
507	83217	113359
508	83390	113207
509	83588	113090
510	83757	112933
511	83909	112752
512	84073	112589
513	84230	112416
514	84392	112249
515	84552	112081
516	84710	111909
517	84941	111833
518	85112	111680
519	85266	111502
520	85423	111328
521	85576	111150
522	85732	110976
523	85893	110808
524	86041	110624
525	86202	110456
526	86364	110291
527	86530	110129
528	86683	109951
529	86840	109779
530	86990	109598
531	87142	109419
532	87297	109245
533	87452	109070
534	87605	108892
535	87760	108717
536	87926	108557
537	88078	108379
538	88234	108205
539	88385	108026
540	88539	107851
541	88693	107676
542	88845	107498
543	89020	107347
544	89186	107187
545	89349	107023
546	89508	106854
547	89672	106690
548	89838	106529
549	89999	106362
550	90150	106184
551	90308	106014
552	90458	105835
553	90614	105662
554	90764	105483
555	90919	105309
556	91076	105138
557	91229	104963
558	91379	104784
559	91539	104616
560	91692	104441
561	91857	104279
562	92064	104165
563	92231	104005
564	92386	103832
565	92548	103667
566	92701	103491
567	92855	103317
568	93010	103145
569	93165	102972
570	93327	102807
571	93481	102633
572	93650	102475
573	93832	102332
574	93985	102158
575	94141	101986
576	94302	101820
577	94462	101653
578	94623	101486
579	94786	101323
580	94939	101148
581	95094	100976
582	95251	100806
583	95408	100636
584	95565	100466
585	95718	100292
586	95881	100128
587	96037	99957
588	96194	99787
589	96348	99614
590	96502	99441
591	96661	99273
592	96823	99109
593	96982	98941
594	97137	98770
595	97287	98593
596	97440	98419
597	97604	98257
598	97761	98088
599	97919	97919
600	98073	97746
601	98225	97573
602	98381	97402
603	98541	97236
604	98691	97060
605	98846	96889
606	98998	96714
607	99156	96547
608	99312	96377
609	99465	96203
610	99629	96042
611	99792	95878
612	100014	95772
613	100188	95619
614	100354	95459
615	100514	95292
616	100670	95122
617	100823	94950
618	100981	94782
619	101136	94612
620	101292	94441
621	101452	94275
622	101606	94103
623	101762	93934
624	101914	93761
625	102073	93594
626	102245	93440
627	102401	93269
628	102579	93120
629	102786	92997
630	102959	92842
631	103138	92693
632	103348	92573
633	103508	92406
634	103668	92240
635	103849	92092
636	104024	91939
637	104183	91772
638	104338	91602
639	104496	91434
640	104659	91270
641	104823	91108
642	104979	90938
643	105141	90774
644	105299	90606
645	105457	90439
646	105630	90284
647	105783	90111
648	105947	89949
649	106103	89779
650	106259	89610
651	106424	89449
652	106586	89284
653	106749	89121
654	106907	88953
655	107060	88781
656	107222	88617
657	107379	88449
658	107542	88285
659	107697	88116
660	107856	87949
661	108014	87782
662	108172	87615
663	108332	87448
664	108490	87281
665	108645	87111
666	108799	86942
667	108956	86773
668	109117	86609
669	109274	86440
670	109431	86272
671	109585	86103
672	109743	85935
673	109902	85769
674	110061	85603
675	110220	85437
676	110387	85276
677	110548	85112
678	110703	84943
679	110858	84774
680	111015	84606
681	111176	84441
682	111336	84276
683	111496	84111
684	111662	83950
685	111818	83782
686	111973	83613
687	112126	83443
688	112280	83273
689	112434	83104
690	112595	82939
691	112754	82773
692	112911	82606
693	113068	82438
694	113224	82271
695	113386	82107
696	113548	81944
697	113702	81774
698	113912	81645
699	114073	81480
700	114233	81316
701	114387	81146
702	114552	80985
703	114722	80827
704	114890	80668
705	115047	80500
706	115209	80336
707	115366	80170
708	115523	80002
709	115678	79834
710	115839	79670
711	115997	79503
712	116153	79336
713	116312	79170
714	116464	79000
715	116621	78833
716	116780	78668
717	116936	78500
718	117091	78332
719	117256	78170
720	117413	78004
721	117568	77836
722	117727	77670
723	117883	77503
724	118041	77337
725	118200	77172
726	118359	77007
727	118517	76841
728	118669	76671
729	118820	76500
730	118976	76334
731	119140	76171
732	119294	76003
733	119448	75835
734	119601	75666
735	119761	75502
736	119926	75340
737	120086	75175
738	120246	75011
739	120399	74842
740	120562	74680
741	120722	74516
742	120922	74376
743	121086	74214
744	121246	74050
745	121402	73883
746	121565	73720
747	121725	73556
748	121897	73398
749	122105	73263
750	122263	73097
751	122417	72929
752	122576	72764
753	122743	72604
754	122905	72441
755	123068	72278
756	123228	72114
757	123393	71952
758	123556	71789
759	123717	71625
760	123874	71459
761	124035	71295
762	124195	71131
763	124352	70965
764	124510	70800
765	124685	70644
766	124858	70487
767	125174	70410
768	125351	70255
769	125512	70091
770	125666	69923
771	125827	69759
772	125989	69595
773	126139	69425
774	126292	69257
775	126452	69092
776	126608	68925
777	126771	68762
778	126933	68599
779	127093	68434
780	127259	68273
781	127421	68110
782	127587	67948
783	127747	67784
784	127912	67622
785	128068	67455
786	128226	67290
787	128393	67129
788	128549	66962
789	128705	66796
790	128864	66631
791	129020	66465
792	129177	66299
793	129336	66134
794	129502	65973
795	129658	65806
796	129823	65644
797	130043	65510
798	130203	65346
799	130353	65176
800	130515	65013
801	130671	64846
802	130834	64683
803	130997	64521
804	131154	64355
805	131310	64189
806	131465	64022
807	131623	63857
808	131786	63693
809	131947	63530
810	132129	63376
811	132287	63211
812	132443	63045
813	132604	62881
814	132757	62713
815	132913	62547
816	133081	62386
817	133247	62225
818	133403	62059
819	133567	61897
820	133735	61736
821	133951	61598
822	134113	61434
823	134263	61266
824	134426	61102
825	134591	60940
826	134747	60774
827	134908	60611
828	135070	60447
829	135227	60282
830	135388	60118
831	135556	59957
832	135724	59797
833	135903	59640
834	136060	59475
835	136229	59315
836	136386	59149
837	136547	58985
838	136718	58826
839	136875	58660
840	137040	58498
841	137203	58335
842	137359	58169
843	137518	58005
844	137676	57840
845	137835	57675
846	137993	57510
847	138162	57350
848	138322	57186
849	138479	57020
850	138636	56855
851	138797	56691
852	138956	56527
853	139121	56365
854	139281	56201
855	139434	56034
856	139599	55872
857	139755	55706
858	139917	55543
859	140074	55378
860	140232	55213
861	140415	55058
862	140584	54897
863	140749	54736
864	140904	54569
865	141072	54409
866	141251	54252
867	141411	54088
868	141607	53937
869	141784	53780
870	141942	53615
871	142106	53452
872	142262	53287
873	142424	53124
874	142588	52961
875	142750	52798
876	142917	52636
877	143079	52473
878	143245	52311
879	143400	52145
880	143563	51982
881	143729	51821
882	143895	51658
883	144056	51495
884	144216	51331
885	144379	51168
886	144540	51004
887	144708	50843
888	144881	50684
889	145086	50535
890	145254	50374
891	145412	50209
892	145574	50046
893	145741	49884
894	145901	49720
895	146064	49557
896	146229	49395
897	146391	49231
898	146552	49068
899	146715	48905
900	146878	48742
901	147034	48576
902	147201	48415
903	147365	48252
904	147521	48087
905	147677	47921
906	147840	47758
907	148001	47595
908	148158	47430
909	148320	47266
910	148473	47100
911	148634	46937
912	148793	46772
913	148951	46608
914	149111	46444
915	149268	46279
916	149435	46117
917	149596	45954
918	149754	45790
919	149916	45626
920	150073	45462
921	150235	45298
922	150398	45135
923	150556	44971
924	150713	44806
925	150867	44641
926	151025	44476
927	151182	44312
928	151344	44148
929	151506	43985
930	151665	43821
931	151834	43660
932	152042	43510
933	152204	43347
934	152356	43181
935	152514	43016
936	152671	42852
937	152833	42689
938	152993	42525
939	153158	42362
940	153318	42199
941	153480	42036
942	153643	41873
943	153827	41715
944	153987	41552
945	154160	41391
946	154318	41227
947	154475	41063
948	154635	40899
949	154795	40735
950	154970	40575
951	155130	40412
952	155288	40247
953	155451	40084
954	155613	39921
955	155776	39758
956	155937	39595
957	156098	39432
958	156259	39268
959	156421	39105
960	156588	38943
961	156750	38780
962	156916	38618
963	157071	38453
964	157238	38291
